nom_serie,valeur,categorie,date_mesure
serie_A,12.50,temperature,2024-01-15
serie_A,15.30,temperature,2024-01-16
serie_A,8.70,temperature,2024-01-17
serie_A,21.00,temperature,2024-01-18
serie_A,13.20,temperature,2024-01-19
serie_A,9.80,temperature,2024-01-20
serie_A,17.60,temperature,2024-01-21
serie_A,11.40,temperature,2024-01-22
serie_A,14.90,temperature,2024-01-23
serie_A,18.70,temperature,2024-01-24
serie_B,45.10,pression,2024-01-15
serie_B,52.80,pression,2024-01-16
serie_B,48.60,pression,2024-01-17
serie_B,55.20,pression,2024-01-18
serie_B,50.90,pression,2024-01-19
serie_B,47.30,pression,2024-01-20
serie_B,53.70,pression,2024-01-21
serie_B,49.80,pression,2024-01-22
serie_B,51.40,pression,2024-01-23
serie_B,56.10,pression,2024-01-24
serie_C,220.50,debit,2024-01-15
serie_C,235.80,debit,2024-01-16
serie_C,198.20,debit,2024-01-17
serie_C,245.10,debit,2024-01-18
serie_C,210.90,debit,2024-01-19
serie_C,228.40,debit,2024-01-20
serie_C,215.60,debit,2024-01-21
serie_C,240.30,debit,2024-01-22
serie_C,205.70,debit,2024-01-23
serie_C,232.80,debit,2024-01-24 
